slug,name,file,file_expanded,os_raw,os_canonical,type,description
breezermm,BreezeRMM,/Library/LaunchAgents/com.breeze.desktop-helper-loginwindow.plist,/Library/LaunchAgents/com.breeze.desktop-helper-loginwindow.plist,macOS,MacOS,,"Official Breeze macOS LoginWindow LaunchAgent, label com.breeze.desktop-helper-loginwindow, that runs the desktop helper before user login."
chrome_remote_desktop,Chrome Remote Desktop,C:\Program Files (x86)\Google\Chrome Remote Desktop\*\remoting_host.exe,C:\Program Files (x86)\Google\Chrome Remote Desktop\*\remoting_host.exe,Windows,Windows,,Versioned Windows host process.
chrome_remote_desktop,Chrome Remote Desktop,/Library/PrivilegedHelperTools/ChromeRemoteDesktopHost.app/Contents/MacOS/remoting_me2me_host,/Library/PrivilegedHelperTools/ChromeRemoteDesktopHost.app/Contents/MacOS/remoting_me2me_host,macOS,MacOS,,Primary macOS remote desktop host executable.
chrome_remote_desktop,Chrome Remote Desktop,/Library/PrivilegedHelperTools/ChromeRemoteDesktopHost.app/Contents/MacOS/remoting_me2me_host_service,/Library/PrivilegedHelperTools/ChromeRemoteDesktopHost.app/Contents/MacOS/remoting_me2me_host_service,macOS,MacOS,,macOS host service launched by launchd.
chrome_remote_desktop,Chrome Remote Desktop,/Library/LaunchAgents/org.chromium.chromoting.plist,/Library/LaunchAgents/org.chromium.chromoting.plist,macOS,MacOS,,macOS per-user launch agent for the Chrome Remote Desktop host.
chrome_remote_desktop,Chrome Remote Desktop,/Library/LaunchDaemons/org.chromium.chromoting.broker.plist,/Library/LaunchDaemons/org.chromium.chromoting.broker.plist,macOS,MacOS,,macOS launch daemon for the host broker.
chrome_remote_desktop,Chrome Remote Desktop,/Library/PrivilegedHelperTools/org.chromium.chromoting.json,/Library/PrivilegedHelperTools/org.chromium.chromoting.json,macOS,MacOS,,macOS Chrome Remote Desktop host configuration.
chrome_remote_desktop,Chrome Remote Desktop,/Library/PrivilegedHelperTools/org.chromium.chromoting.settings.json,/Library/PrivilegedHelperTools/org.chromium.chromoting.settings.json,macOS,MacOS,,macOS Chrome Remote Desktop host settings.
chrome_remote_desktop,Chrome Remote Desktop,/Applications/Chrome Remote Desktop Host Uninstaller.app,/Applications/Chrome Remote Desktop Host Uninstaller.app,macOS,MacOS,,macOS host uninstaller application.
chrome_remote_desktop,Chrome Remote Desktop,/opt/google/chrome-remote-desktop/chrome-remote-desktop-host,/opt/google/chrome-remote-desktop/chrome-remote-desktop-host,Linux,Linux,,Linux Chrome Remote Desktop host executable.
chrome_remote_desktop,Chrome Remote Desktop,/opt/google/chrome-remote-desktop/chrome-remote-desktop,/opt/google/chrome-remote-desktop/chrome-remote-desktop,Linux,Linux,,Linux host management script.
chrome_remote_desktop,Chrome Remote Desktop,/lib/systemd/system/chrome-remote-desktop.service,/lib/systemd/system/chrome-remote-desktop.service,Linux,Linux,,Linux systemd service unit.
controlio,Controlio,weClipboardListener.exe,weClipboardListener.exe,Windows,Windows,,Controlio binary
controlio,Controlio,bbl.exe,bbl.exe,Windows,Windows,,Controlio binary
controlio,Controlio,weprtct.exe,weprtct.exe,Windows,Windows,,Controlio binary
controlio,Controlio,wemonc.exe,wemonc.exe,Windows,Windows,,Controlio binary
controlio,Controlio,wesvc.exe,wesvc.exe,Windows,Windows,,Controlio binary
controlio,Controlio,libeay32.dll,libeay32.dll,Windows,Windows,,Controlio binary
controlio,Controlio,ssleay32.dll,ssleay32.dll,Windows,Windows,,Controlio binary
controlio,Controlio,wec_launcher_[a-Z0-9]*_.exe,wec_launcher_[a-Z0-9]*_.exe,Windows,Windows,,Controlio windows installer
controlio,Controlio,wec_launcher_[a-Z0-9]*_.pkg,wec_launcher_[a-Z0-9]*_.pkg,Mac,MacOS,,Controlio macos installer
controlio,Controlio,weInstSvc.exe,weInstSvc.exe,Windows,Windows,,Controlio binary
controlio,Controlio,C:\ProgramData\{E0E95C6C-F194-4846-928D-E5538022226D}\,C:\ProgramData\{E0E95C6C-F194-4846-928D-E5538022226D}\,Windows,Windows,,Controlio binary
controlr,ControlR,*\ControlR.Agent.Installer.exe,*\ControlR.Agent.Installer.exe,Windows,Windows,,ControlR agent installer dropped and executed by threat actors.
controlr,ControlR,C:\Program Files\ControlR\*\ControlR.Agent.exe,C:\Program Files\ControlR\*\ControlR.Agent.exe,Windows,Windows,,ControlR agent binary installed on Windows.
controlr,ControlR,C:\ProgramData\ControlR\*\appsettings.json,C:\ProgramData\ControlR\*\appsettings.json,Windows,Windows,,ControlR agent configuration file on Windows.
controlr,ControlR,C:\ProgramData\ControlR\*\Logs\ControlR.Agent\LogFile*.log,C:\ProgramData\ControlR\*\Logs\ControlR.Agent\LogFile*.log,Windows,Windows,,ControlR agent log files on Windows.
controlr,ControlR,C:\ProgramData\ControlR\*\Logs\ControlR.DesktopClient\LogFile*.log,C:\ProgramData\ControlR\*\Logs\ControlR.DesktopClient\LogFile*.log,Windows,Windows,,ControlR desktop client log files on Windows.
controlr,ControlR,/usr/local/bin/ControlR/*/ControlR.Agent,/usr/local/bin/ControlR/*/ControlR.Agent,Linux,Linux,,ControlR agent binary installed on Linux.
controlr,ControlR,/etc/controlr/*/appsettings.json,/etc/controlr/*/appsettings.json,Linux,Linux,,ControlR agent configuration file on Linux (root).
controlr,ControlR,/etc/systemd/system/controlr.agent*.service,/etc/systemd/system/controlr.agent*.service,Linux,Linux,,ControlR agent systemd service unit file on Linux.
controlr,ControlR,/var/log/controlr/*/ControlR.Agent/LogFile*.log,/var/log/controlr/*/ControlR.Agent/LogFile*.log,Linux,Linux,,ControlR agent log files on Linux (root).
controlr,ControlR,~/.controlr/*/logs/ControlR.Agent/LogFile*.log,~/.controlr/*/logs/ControlR.Agent/LogFile*.log,Linux,Linux,,ControlR agent log files on Linux (user context).
controlr,ControlR,/Library/Application Support/ControlR/*/ControlR.Agent,/Library/Application Support/ControlR/*/ControlR.Agent,MacOS,MacOS,,ControlR agent binary installed on macOS.
controlr,ControlR,/Applications/ControlR.app,/Applications/ControlR.app,MacOS,MacOS,,Default ControlR desktop client app bundle on macOS.
controlr,ControlR,/Applications/ControlR.*.app,/Applications/ControlR.*.app,MacOS,MacOS,,Instance-specific ControlR desktop client app bundle on macOS.
controlr,ControlR,/Library/LaunchDaemons/app.controlr.agent*.plist,/Library/LaunchDaemons/app.controlr.agent*.plist,MacOS,MacOS,,ControlR agent launchd plist files on macOS.
controlr,ControlR,/Library/LaunchAgents/app.controlr.desktop*.plist,/Library/LaunchAgents/app.controlr.desktop*.plist,MacOS,MacOS,,ControlR desktop client launchd plist files on macOS.
controlr,ControlR,/var/log/controlr/*/ControlR.Agent/LogFile*.log,/var/log/controlr/*/ControlR.Agent/LogFile*.log,MacOS,MacOS,,ControlR agent log files on macOS (root).
controlr,ControlR,~/.controlr/*/logs/ControlR.Agent/LogFile*.log,~/.controlr/*/logs/ControlR.Agent/LogFile*.log,MacOS,MacOS,,ControlR agent log files on macOS (user context).
dataplicity,Dataplicity,/opt/dataplicity/tuxtunnel/manager,/opt/dataplicity/tuxtunnel/manager,Linux,Linux,,Dataplicity manager binary (the persistent remote-control daemon)
dataplicity,Dataplicity,/opt/dataplicity/credentials,/opt/dataplicity/credentials,Linux,Linux,,Dataplicity agent credentials file (per-tenant install token + device identity)
dataplicity,Dataplicity,/etc/systemd/system/dataplicity.service,/etc/systemd/system/dataplicity.service,Linux,Linux,,systemd unit file for Dataplicity agent persistence
dataplicity,Dataplicity,/etc/init.d/dataplicity,/etc/init.d/dataplicity,Linux,Linux,,SysV init script for Dataplicity agent persistence (older or non-systemd Linux distributions)
devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,%localappdata%\Devolutions\RemoteDesktopManager\Connections.log,C:\Users\*\AppData\Local\Devolutions\RemoteDesktopManager\Connections.log,Windows,Windows,,"Log file showing connections, disconnections, actions on saved passwords and attachments, and other changes"
devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,%localappdata%\Devolutions\RemoteDesktopManager[GUID]\Mru.xml,C:\Users\*\AppData\Local\Devolutions\RemoteDesktopManager[GUID]\Mru.xml,Windows,Windows,,Most recently used Connections
devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,%localappdata%\Devolutions\RemoteDesktopManager\Connections.db,C:\Users\*\AppData\Local\Devolutions\RemoteDesktopManager\Connections.db,Windows,Windows,,Default connections database. There can be others. Holds information and configuration about the connections
faronics_core,Faronics Core,C:\Program Files\Faronics\Faronics Core\Workstation Agent\FaronicsCoreAgent.exe,C:\Program Files\Faronics\Faronics Core\Workstation Agent\FaronicsCoreAgent.exe,Windows,Windows,,Faronics Core Agent main executable
faronics_core,Faronics Core,C:\Program Files\Faronics\Faronics Core\Workstation Agent\CoreAgentService.exe,C:\Program Files\Faronics\Faronics Core\Workstation Agent\CoreAgentService.exe,Windows,Windows,,Faronics Core Agent service host
faronics_core,Faronics Core,C:\ProgramData\Faronics\FCAForStartupMonitor.msi,C:\ProgramData\Faronics\FCAForStartupMonitor.msi,Windows,Windows,,Faronics Core Agent startup-monitor MSI installer
faronics_deep_freeze,Faronics Deep Freeze,C:\Program Files (x86)\Faronics\Deep Freeze\DFServ.exe,C:\Program Files (x86)\Faronics\Deep Freeze\DFServ.exe,Windows,Windows,,Deep Freeze workstation service binary
faronics_deep_freeze,Faronics Deep Freeze,C:\Program Files (x86)\Faronics\Deep Freeze\DFServEx.exe,C:\Program Files (x86)\Faronics\Deep Freeze\DFServEx.exe,Windows,Windows,,Deep Freeze workstation service host
faronics_deep_freeze,Faronics Deep Freeze,C:\Program Files (x86)\Faronics\Deep Freeze\DFWks.exe,C:\Program Files (x86)\Faronics\Deep Freeze\DFWks.exe,Windows,Windows,,Deep Freeze workstation install / control utility
faronics_deep_freeze,Faronics Deep Freeze,C:\Windows\Temp\DFServiceInit.log,C:\Windows\Temp\DFServiceInit.log,Windows,Windows,,Deep Freeze service initialization log
faronics_deep_freeze,Faronics Deep Freeze,C:\Users\<USER>\AppData\Local\Temp\_$Df\DFStdInstall.sib,C:\Users\<USER>\AppData\Local\Temp\_$Df\DFStdInstall.sib,Windows,Windows,,Deep Freeze Standard installer scratch file
faronics_deploy,Faronics Deploy,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FaronicsDeployAgent.exe,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FaronicsDeployAgent.exe,Windows,Windows,,Faronics Deploy Agent main executable
faronics_deploy,Faronics Deploy,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWAService.exe,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWAService.exe,Windows,Windows,,Faronics Deploy Cloud Agent service (registered as FWASvc)
faronics_deploy,Faronics Deploy,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWA_UI_Agent.exe,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWA_UI_Agent.exe,Windows,Windows,,Faronics Deploy user-interface agent
faronics_deploy,Faronics Deploy,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FRCServer.exe,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FRCServer.exe,Windows,Windows,,Faronics Remote Control server component
faronics_deploy,Faronics Deploy,C:\ProgramData\Faronics\StorageSpace\FWA\CloudAgentLogs.LOG,C:\ProgramData\Faronics\StorageSpace\FWA\CloudAgentLogs.LOG,Windows,Windows,,Faronics Deploy / Cloud Agent activity log
faronics_deploy,Faronics Deploy,C:\ProgramData\Faronics\StorageSpace\FWA\Logs\FWASvc.log,C:\ProgramData\Faronics\StorageSpace\FWA\Logs\FWASvc.log,Windows,Windows,,Faronics Deploy service log (FWASvc)
faronics_insight,Faronics Insight,C:\Program Files\Faronics\Insight Student\FIStudentSvc.exe,C:\Program Files\Faronics\Insight Student\FIStudentSvc.exe,Windows,Windows,,Faronics Insight Student Windows service
faronics_insight,Faronics Insight,C:\Program Files\Faronics\Insight Student\FIStudentAgent.exe,C:\Program Files\Faronics\Insight Student\FIStudentAgent.exe,Windows,Windows,,Faronics Insight Student agent
faronics_insight,Faronics Insight,C:\Program Files\Faronics\Insight Student\FIStudentUI.exe,C:\Program Files\Faronics\Insight Student\FIStudentUI.exe,Windows,Windows,,Faronics Insight Student UI host
faronics_insight,Faronics Insight,C:\Program Files\Faronics\Insight Student\STAHelper.exe,C:\Program Files\Faronics\Insight Student\STAHelper.exe,Windows,Windows,,Faronics Insight Student helper executable
faronics_insight,Faronics Insight,C:\Program Files\Faronics\Insight Teacher\STAHelper.exe,C:\Program Files\Faronics\Insight Teacher\STAHelper.exe,Windows,Windows,,Faronics Insight Teacher helper executable
fleetdeck,FleetDeck.io,C:\Program Files (x86)\FleetDeck Agent\fleetdeck_agent_svc.exe,C:\Program Files (x86)\FleetDeck Agent\fleetdeck_agent_svc.exe,Windows,Windows,,FleetDeck agent service executable (verified via official documentation)
fleetdeck,FleetDeck.io,C:\Program Files (x86)\FleetDeck Agent\*\fleetdeck_agent.exe,C:\Program Files (x86)\FleetDeck Agent\*\fleetdeck_agent.exe,Windows,Windows,,FleetDeck agent executable (verified via official documentation)
