slug,name,category,description,author,created,last_modified,website,privileges,free,verification,supported_os,capabilities,installation_paths,pe_original_names,pe_filenames,vulnerabilities,references,source_file
devolutions_remote_desktop_manager,Devolutions Remote Desktop Manager,RAT,Devolutions Remote Desktop Manager is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,ogmini,2025-06-02,2025-06-02,https://devolutions.net/remote-desktop-manager/,,,,Windows | Linux | Android | Mac | IOS,,C:\Program Files\Devolutions\Remote Desktop Manager | *\RemoteDesktopManager.exe,RemoteDesktopManager,RemoteDesktopManager.exe,https://www.cvedetails.com/version-list/22913/177721/1/Devolutions-Remote-Desktop-Manager-Powershell.html,https://devolutions.net/remote-desktop-manager/ | https://ogmini.github.io/research#remote-desktop-manager,devolutions_remote_desktop_manager.yaml
distant_desktop,Distant Desktop,RMM,Distant Desktop is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.distantdesktop.com/,,,,,,ddsystem.exe | dd.exe | distant-desktop.exe,,,,https://www.distantdesktop.com/manual/first-start.htm,distant_desktop.yaml
domotz,Domotz,RMM,Domotz is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.domotz.com/,,,,,,domotz.exe | Domotz Pro Desktop App.exe | domotz_bash.exe | domotz*.exe | Domotz Pro Desktop App Setup*.exe | domotz-windows*.exe,,,,https://help.domotz.com/tips-tricks/unblock-outgoing-connections-on-firewall/,domotz.yaml
dragondisk,DragonDisk,RAT,DragonDisk is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,,,,,Windows,,C:\Program Files (x86)\Almageste\DragonDisk\* | *\Almageste\DragonDisk\* | *\DragonDisk.exe,,,,,dragondisk.yaml
duet_display,Duet Display,RAT,Duet Display is a screen sharing and remote desktop software product that ships with RMM capability. The tool includes remote desktop access functionality and is part of the broader itagent product family which features system management and automation functions. Duet Display has been observed being used for remote access capabilities beyond its primary screen-sharing purpose.,Michael Haag,2026-01-15,2026-01-15,https://www.duetdisplay.com/remote-desktop-access-software,User/SYSTEM,Trial Available,Code-signed,Windows | Mac | iOS | Android,Remote Control | Remote Access | Screen Sharing | Remote Desktop | System Management,duet.exe | DuetSetup.exe | DuetDisp.exe,DuetDisp.exe,duet.exe | DuetSetup.exe,,https://github.com/magicsword-io/LOLRMM/issues/125 | https://www.duetdisplay.com/remote-desktop-access-software | https://www.itagent.com/it-agent-remote-access,duet_display.yaml
duplicati,Duplicati,RAT,Duplicati is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://duplicati.com/,,,,Windows,,c:\Program Files\*\Duplicati.Server.exe | *\*\Duplicati.Server.exe,,,,,duplicati.yaml
dw_service,DW Service,RMM,DW Service is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.dwservice.net/,,,,Windows,,dwagsvc.exe | dwagent.exe | dwagsvc.exe,,,,https://news.dwservice.net/dwservice-security-infrastructure/,dw_service.yaml
echoware,Echoware,RMM,Echoware is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,,,,,,,echoserver*.exe | echoware.dll,,,,,echoware.yaml
ehorus,eHorus,RMM,eHorus is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://ehorus.com,,,true,Windows | Linux | Mac,,C:\Program Files\ehorus_agent\* | ehorus standalone.exe | ehorus_agent.exe | ehorus_cmd.exe | ehorus_launcher.exe | ehorus_uit.exe,,,,,ehorus.yaml
electric_ai_(kaseya),Electric AI (Kaseya),RMM,Electric AI (Kaseya) is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.electric.ai/,,,,,,,,,,https://www.electric.ai/product/device-management-solutions - Usess Kaseya/jamf,electric_ai_(kaseya).yaml
emco_remote_console,EMCO Remote Console,RMM,EMCO Remote Console is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://emcosoftware.com/,,,,,,remoteconsole.exe,,,,,emco_remote_console.yaml
encapto,Encapto,RMM,Encapto is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.encapto.com/,,,,,,,,,,https://www.encapto.com - used to manage Cisco services,encapto.yaml
ericom_accessnow,Ericom AccessNow,RMM,Ericom AccessNow is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.ericom.com/connect-accessnow/,,,,,,accessserver*.exe | accessserver.exe,,,,https://www.ericom.com/connect-accessnow/,ericom_accessnow.yaml
ericom_connect,Ericom Connect,RMM,Ericom Connect is a remote monitoring and management (RMM) tool. More information will be added as it becomes available.,,2024-08-02,2024-08-02,https://www.ericom.com/connect-accessnow/,,,,,,EricomConnectRemoteHost*.exe | ericomconnnectconfigurationtool.exe,,,,https://www.ericom.com/connect-accessnow/,ericom_connect.yaml
