slug,name,event_id,provider_name,log_file,service_name,image_path,command_line,description
anyviewer,AnyViewer,4688,Microsoft-Security-Auditing,Security.evtx,,,"""C:\\Program Files (x86)\\AnyViewer\\AVCore.exe"" -d",Taking actions on the remote machine such as opening a command prompt.
anyviewer,AnyViewer,7045,Service Control Manager,System.evtx,RCService,C:\\Program Files (x86)\\AnyViewer\\RCService.exe,,AnyViewer service installation service.
aspia,Aspia,11707,MsiInstaller,Application.evtx,,,,Aspia Client installation event.
atera,Atera,7045,Service Control Manager,System.evtx,AteraAgent,"""C:\\Program Files (x86)\\ATERA Networks\\AteraAgent\\AteraAgent.exe""",,Service installation event as result of AteraAgent installation.
atera,Atera,7045,Service Control Manager,System.evtx,WinRing0_1_2_0,"""C:\\Program Files (x86)\\ATERA Networks\\AteraAgent\\Packages\\AgentPackageMonitoring\\OpenHardwareMonitorLib.sys""",,Service installation event as result of Atera pakcage manager installation.
atera,Atera,11707,MsiInstaller,Application.evtx,,,,Service installation event as result of AteraAgent installation.
atera,Atera,4697,Microsoft-Security-Auditing,Security.evtx,,,C:\\Program Files\\ATERA Networks\\AteraAgent\\Packages\\AgentPackageFileExplorer\\AgentPackageFileExplorer.exe XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXX agent-api.atera.com/Production 443 [BASE64BLOB],Service installation event as result of AteraAgent installation.
bluetrait,Bluetrait,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,C:\Program Files (x86)\Bluetrait Agent\Bluetrait MSP Agent.exe,Execution of Bluetrait MSP Agent
bluetrait,Bluetrait,7045,Service Control Manager,System.evtx,Bluetrait Agent,"""C:\Program Files (x86)\Bluetrait Agent\Bluetrait MSP Agent.exe""",,Bluetrait service installation event
fleetdeck,FleetDeck.io,7045,,,,,,Service installation event for FleetDeck Agent Service
freshservice,Freshservice,7045,Service Control Manager,System.evtx,FSAgentService,"""C:\\Program Files (x86)\\Freshdesk\\Freshservice Discovery Agent\\FSAgentService.exe""",,Service installation event raised when the Freshservice Discovery Agent registers its SYSTEM service via AgentInstaller.dll custom action.
freshservice,Freshservice,7045,Service Control Manager,System.evtx,FreshServiceScan,"""C:\\Program Files (x86)\\Freshworks\\FreshServiceProbe\\bin\\Freshservice.DiscoveryProbe.ScanService.exe""",,Service installation event raised when the Freshservice Discovery Probe registers its SYSTEM scan service. Service name `FreshServiceScan` and binary path confirmed via the ServiceInstall table inside `fs-probe-4.13.0.msi`.
freshservice,Freshservice,4697,Microsoft-Windows-Security-Auditing,Security.evtx,FSAgentService,"""C:\\Program Files (x86)\\Freshdesk\\Freshservice Discovery Agent\\FSAgentService.exe""",,Security-log mirror of the FSAgentService service install (4697 fires when service-install auditing is enabled).
freshservice,Freshservice,4697,Microsoft-Windows-Security-Auditing,Security.evtx,FreshServiceScan,"""C:\\Program Files (x86)\\Freshworks\\FreshServiceProbe\\bin\\Freshservice.DiscoveryProbe.ScanService.exe""",,Security-log mirror of the FreshServiceScan service install.
freshservice,Freshservice,11707,MsiInstaller,Application.evtx,,,,"MsiInstaller success event for the Freshservice Discovery Agent MSI (`fs-windows-agent-*.msi`). ProductName = ""Freshservice Discovery Agent"" confirmed in the MSI Property table."
freshservice,Freshservice,11707,MsiInstaller,Application.evtx,,,,"MsiInstaller success event for the Freshservice Discovery Probe MSI (`fs-probe-*.msi`). ProductName = ""FreshService Probe"" confirmed in the MSI Property table."
freshservice,Freshservice,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"msiexec /i \\<share>\\FSAgent.msi REGISTRATIONTOKEN=""<tenant-token>""",Vendor-documented msiexec command used to install the Discovery Agent silently; the REGISTRATIONTOKEN parameter binds the install to a specific Freshservice tenant. PROXYSERVER/PROXYPORT/PROXYUSERNAME/PROXYPASSWORD parameters may also appear on the command line in clear text.
freshservice,Freshservice,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,C:\\Program Files (x86)\\Freshdesk\\Freshservice Discovery Agent\\FSAgentAutoUpdate.exe,Process-creation event for the Discovery Agent auto-updater reaching out to fstools.freshservice.com to pull a new MSI.
freshservice,Freshservice,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,C:\\Program Files (x86)\\Freshworks\\FreshServiceProbe\\bin\\plink.exe -ssh <target> -batch ...,"Process-creation event for the bundled PuTTY plink.exe being launched by the Discovery Probe to scan a Linux/Unix host over SSH. Execution of plink.exe from this path is a Freshservice-specific signal (legitimate Probe behaviour, but worth tagging)."
getscreen,GetScreen,7045,Service Control Manager,System.evtx,Getscreen.me,C:\Program Files\Getscreen.me\getscreen.exe,,"Service installation event as a result of GetScreen installation. The persistent service typically points at the elevation helper under %ProgramData%, e.g. '""C:\ProgramData\Getscreen.me\<random28chars>-elevate.exe"" -elevate \\.\pipe\elevateGS512<random28chars>' where the random alpha string is generated per-install."
getscreen,GetScreen,4697,Microsoft-Security-Auditing,Security.evtx,Getscreen.me,C:\Program Files\Getscreen.me\getscreen.exe,,Service installation event as a result of GetScreen installation. ImagePath may also reference the elevation helper under %ProgramData% (see EventID 7045 description).
glpi,GLPI Agent,7045,Service Control Manager,System.evtx,glpi-agent,"C:\\Program Files\\GLPI-Agent\\perl\\bin\\perl.exe ""C:\\Program Files\\GLPI-Agent\\perl\\bin\\glpi-win32-service""",,"Service installation event recorded when the GLPI Agent MSI installs in service mode (EXECMODE=1) — service Name=`glpi-agent` (DisplayName ""GLPI Agent"") confirmed via msiinfo against GLPI-Agent-1.17-x64.msi ServiceInstall table; hosted by glpi-win32-service running under perl.exe."
glpi,GLPI Agent,11707,MsiInstaller,Application.evtx,,,,MSI installer success event from the GLPI-Agent-<version>-x64.msi package. ProductName is versioned in the actual log Data string (e.g. `Product: GLPI Agent 1.17 --`); confirmed against the MSI Property table.
glpi,GLPI Agent,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"C:\\Program Files\\GLPI-Agent\\perl\\bin\\perl.exe ""C:\\Program Files\\GLPI-Agent\\perl\\bin\\glpi-agent"" --server=<URL> --tag=<TAG>",Process creation observed when the GLPI Agent runs an inventory or task — perl.exe spawned with the glpi-agent script and the operator-configured server URL.
gotoassist_(goto_resolve),GoToAssist (GoTo Resolve),7045,Service Control Manager,System.evtx,GoToResolve_*,"""C:\Program Files (x86)\GoTo Resolve Unattended\*\GoToResolveProcessChecker.exe"" -Service -WorkFolder ""C:\Program Files (x86)\GoTo Resolve Unattended\*"" -ApplicationType ""4""",,Service installation event as result of GoTo Resolve installation.
gotoassist_(goto_resolve),GoToAssist (GoTo Resolve),4688,Microsoft Windows security auditing,Security.evtx,,,"""C:\Windows\system32\sc.exe"" start GoToResolve_*",Process creation event as result of GoTo Resolve installation.
heartbeatrm,HeartbeatRM,7045,,,,,,Service installation event for HeartbeatRM
hoptodesk,HopToDesk,7045,,,,,,Service installation event for HopToDesk
idrive,iDrive,4688,,,,,,Process creation event for IDrive executables
idrive,iDrive,4698,,,,,,Scheduled task creation event for iDrive
immybot,ImmyBot,7045,,,,,,Service installation event for ImmyBot Agent
invgate,InvGate,7045,Service Control Manager,System.evtx,InvClient,"""C:\\Program Files (x86)\\Inventec\\InvGate.net Client\\InvGate-ED.exe""",,Service installation event recorded when the InvGate Assets Client agent registers its SYSTEM service.
invgate,InvGate,11707,MsiInstaller,Application.evtx,,,,Successful MSI installation of the InvGate Assets Client agent.
invgate,InvGate,4697,Microsoft-Windows-Security-Auditing,Security.evtx,InvClient,"""C:\\Program Files (x86)\\Inventec\\InvGate.net Client\\InvGate-ED.exe""",,Service installation auditing event for the InvClient SYSTEM service.
invgate,InvGate,1033,MsiInstaller,Application.evtx,,,,MsiInstaller success event recorded when the InvGate Assets Client MSI completes.
level,Level,4698,Microsoft-Windows-Security-Auditing,Security.evtx,,,,"To ensure the Level agent is always running, a scheduled task..."
level,Level,4697,Microsoft-Windows-Security-Auditing,Security.evtx,Level,,,The Level Agent Service ...
level,Level,4798,Microsoft-Windows-Security-Auditing,Security.evtx,,,,Evidence of osqueryi doing automatic user/group enumeration.
lunixar,Lunixar,,,,,,,Service event log source
manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,4688,,,,,,Process creation event for ManageEngine_ServiceDesk_Plus.exe
manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,7045,,,,,,Service installation event for ManageEngine ServiceDesk
meshcentral,MeshCentral,7045,Service Control Manager,System.evtx,Mesh Agent background service,"""C:\\Program Files\\Mesh Agent\\MeshAgent.exe""",,Service installation event as result of MeshAgent installation.
miradore,Miradore,7045,,,,,,Service installation event for Miradore Online Client
monitic,Monitic,7045,Service Control Manager,System.evtx,,"""C:\\Program Files\\Monitic\\agent.exe""",,Service installation event resulting from `agent.exe install` invocation by Monitic agent_installer.bat (SYSTEM service registered for the primary RustDesk/kopia agent). The SCM service Name (Go service-installer subcommand value) was not directly observed — agent.exe is Themida-packed and no `services\<name>` registry key surfaced in sandbox runs. Match on ImagePath.
monitic,Monitic,7045,Service Control Manager,System.evtx,,"""C:\\Program Files\\Monitic\\amon.exe""",,Service installation event resulting from `amon.exe install` invocation by Monitic agent_installer.bat (SYSTEM service registered for the amon watchdog). Service Name not directly observed — match on ImagePath ending in `amon.exe`.
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"rundll32 url.dll,FileProtocolHandler https://app.monitic.com/installer",MoniticInstaller.exe spawning rundll32 to open the installer enrollment URL via the default browser (observed in CAPE/Zenbox sandbox traces of the bootstrap installer).
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"powershell -command ""& { (New-Object Net.WebClient).DownloadFile('https://api.monitic.com/api/ext/download-installer?t=<token>', 'installer.zip') }""",PowerShell download of installer.zip from api.monitic.com triggered by Monitic's agent_installer.bat.
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"powershell -command ""& { (New-Object Net.WebClient).DownloadFile('https://api.monitic.com/api/ext/get-config?t=<token>', 'conf.json') }""",PowerShell download of per-tenant conf.json from api.monitic.com triggered by Monitic's agent_installer.bat.
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"powershell -command ""& { Add-Type -A 'System.IO.Compression.FileSystem'; [IO.Compression.ZipFile]::ExtractToDirectory('installer.zip', 'C:\Program Files\Monitic') }""",PowerShell extraction of installer.zip into C:\Program Files\Monitic during Monitic install (observed verbatim in agent_installer.bat).
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"""C:\\Program Files\\Monitic\\agent.exe"" install",Monitic agent.exe registering itself as a SYSTEM service via the `install` subcommand (called from agent_installer.bat).
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"""C:\\Program Files\\Monitic\\amon.exe"" install",Monitic amon.exe registering itself as a SYSTEM service via the `install` subcommand (called from agent_installer.bat).
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"""C:\\Program Files\\Monitic\\amon.exe"" start",Monitic amon.exe service start triggered by agent_installer.bat after installation.
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"powershell -NoProfile -NonInteractive -Command ""& {Get-WmiObject Win32_BIOS | Select-Object Manufacturer, SerialNumber | ConvertTo-Json -Compress}""","Hardware fingerprinting WMI query executed by Monitic agent.exe (observed in CAPE sandbox traces of agent.exe). Sibling queries seen for Win32_Processor, Win32_DiskDrive (Index=0) and Win32_BaseBoard."
monitic,Monitic,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,taskkill /IM tunnel.exe /F,Monitic agent.exe terminating its bundled tunnel.exe child during lifecycle / restart (observed in CAPE sandbox traces of agent.exe — `tunnel.exe` is the RustDesk tunneling helper).
mousewithoutborders,Mouse Without Borders,7045,Service Control Manager,System.evtx,Mouse without Borders Service,C:\Program Files (x86)\Microsoft Garage\Mouse without Borders\MouseWithoutBordersSvc.exe,,"Service installed (user mode service), auto start, account LocalSystem"
netbird,NetBird,4688,,,,,,Process creation event for netbird.exe
netbird,NetBird,7045,,,,,,Service installation event for NetBird
nvda,NVDA (Non-Visual Desktop Access),4688,,,,,,Process creation event for nvda.exe
parsec,Parsec,7045,Service Control Manager,System.evtx,parsecvirtualds,"""\SystemRoot\System32\drivers\parsecvirtualds.sys""",,Parsec service installation event
splashtop,Splashtop,7045,Service Control Manager,System.evtx,Splashtop Software Updater Service,"""C:\\Program Files (x86)\\Splashtop\\Splashtop Software Updater\\SSUService.exe""",,Service installation event as result of Splashtop Software Updater Service installation.
splashtop,Splashtop,7045,Service Control Manager,System.evtx,Splashtop® Remote Service,"""C:\\Program Files (x86)\\Splashtop\\Splashtop Remote\\Server\\SRService.exe""",,Service installation event as result of Splashtop Remote Service installation.
splashtop,Splashtop,7045,Service Control Manager,System.evtx,SplashtopRemoteService,"""C:\\Program Files (x86)\\Splashtop\\Splashtop Remote\\Server\\SRService.exe""",,Service installation event as result of Splashtop Remote Service installation.
teamviewer,TeamViewer,7045,Service Control Manager,System.evtx,TeamViewer,"""C:\\Program Files\\TeamViewer\\TeamViewer_Service.exe""",,Service installation event as result of TeamViewer installation.
teramind,Teramind,7045,Service Control Manager,System.evtx,tsvchst,"""C:\\ProgramData\\Teramind Agent\\<version>\\{6D99445F-F40F-45CB-B433-06302DAE6C70}\\tmagentsvc.exe"" --service",,"Service installation event for the Teramind Agent. The service name is tsvchst (vendor-documented), but the on-disk image is tmagentsvc.exe under the Teramind ProgramData install root. Stealth installs may use the GUID-named ProgramData path C:\ProgramData\{4CEC2908-5CE4-48F0-A717-8FC833D8017A}\ instead."
teramind,Teramind,4697,Microsoft-Windows-Security-Auditing,Security.evtx,tsvchst,,"""C:\\ProgramData\\Teramind Agent\\<version>\\{6D99445F-F40F-45CB-B433-06302DAE6C70}\\tmagentsvc.exe"" --service",Service installation event (security auditing variant) for tsvchst / tmagentsvc.exe.
teramind,Teramind,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,msiexec.exe /i teramind_agent_*_bundle_noredist_setup.msi,Process creation observed at install time — msiexec invoking a Teramind agent MSI by its fixed filename pattern. The vendor's installer enforces that the MSI must not be renamed.
tiflux,TiFLUX,7045,Service Control Manager,System.evtx,TiService,"""C:\\Program Files (x86)\\TiFLUX\\TiService.exe""",,Service installation event as result of TiFLUX agent installation.
tiflux,TiFLUX,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"""cmd"" /c ""sc failure TiService reset= 86400 actions= restart/30000""",Process creation observed during TiFLUX install — msiexec spawning cmd.exe to harden TiService auto-restart behaviour.
tiflux,TiFLUX,4688,Microsoft-Windows-Security-Auditing,Security.evtx,,,"cmd.exe /c start /MIN """" ""C:\\Program Files (x86)\\TiFLUX\\si.exe""",TiService spawning the silent helper si.exe via cmd.exe with a hidden window.
veyon,Veyon,7045,Service Control Manager,System.evtx,Veyon Service,"""C:\\Program Files\\Veyon\\veyon-service.exe""",,Service installation event for Veyon Service
vizor,VIZOR,7045,Service Control Manager,System.evtx,,,,"Service installation event from the Vector Asset Management Client MSI — runs as LocalSystem by default per the VIZOR Security Topics document. The service DisplayName is documented as ""Vector Asset Management Agent""; the underlying SCM service short-name (which is what 7045 events actually carry in the ServiceName field) has NOT been confirmed via MSI inspection — the public installer bundle is server-side only. Detections should match on ImagePath ending in `C:\Program Files\Vector\Asset Management Client\*.exe` rather than relying on a guessed ServiceName."
vizor,VIZOR,7045,Service Control Manager,System.evtx,,,,Server-side service installation event — the Vector Scheduler Windows service (documented DisplayName) runs on the Vector Discovery Server and parses inventory uploads from the Offline Area into the SQL Server database. Documented in the VIZOR Security Topics document — runs under a Windows account chosen at install time which must have read/write access to the Offline Area and SQL access to the database. SCM short-name not confirmed via MSI inspection.
vizor,VIZOR,11707,MsiInstaller,Application.evtx,,,,"MSI installer success event for the Vector Asset Management Client v6.0 — ProductCode {04821777-1FD1-4C1A-AC4D-BF5D4D53C34C}, default install dir `C:\Program Files (x86)\Vector\Asset Management Client`. ProductName text derived from the Uninstall DisplayName per advanceduninstaller.com listing, not from a directly-introspected MSI Property table."
vizor,VIZOR,11707,MsiInstaller,Application.evtx,,,,"MSI installer success event for the Vector Asset Management Client v5.7 — ProductCode {A40A237D-C090-4C05-8580-9DBECFE3602B}, default install dir `C:\Program Files\Vector\Asset Management Client`. ProductName text derived from the Uninstall DisplayName per advanceduninstaller.com listing."
